filename,full_url,prompt,correct_answer,wrong_answer_1,wrong_answer_2,wrong_answer_3
blackieshoot-CQXfAXez-ls-unsplash_Broccoli.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/blackieshoot-CQXfAXez-ls-unsplash_Broccoli.jpg,Close-up of a green vegetable,Broccoli,Rainforest,Coral,Bacteria
BubbleWrap_closeup.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/BubbleWrap_closeup.jpg,Protective packaging material,Bubble Wrap,Fish Eggs,Band Aid,Octopus
CarTire.png,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/CarTire.png,Rubber with tread pattern,Car Tire,Speed Bump,Conveyor Belt,Boot
david-clode-fG1fdervp1E-unsplash_SeaHorse.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/david-clode-fG1fdervp1E-unsplash_SeaHorse.jpg,Unusual marine creature,Seahorse,House Plant,Chess Piece,Zucchini
ekamelev-ZaVvFex2apg-unsplash_Crocodile.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/ekamelev-ZaVvFex2apg-unsplash_Crocodile.jpg,Scaly reptile skin,Crocodile,Tree Bark,Mold,Desert Terrain
Fingerprint_Arch.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/Fingerprint_Arch.jpg,Unique human pattern,Fingerprint,Topographical Map,Oak,Puddle
gildardo-rh-q1-dAZuhs7I-unsplash_Green_Leaf.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/gildardo-rh-q1-dAZuhs7I-unsplash_Green_Leaf.jpg,Plant with veins,Green Leaf,Dragonfly Wing,Stained Glass,Rice Farm
glen-carrie-CE4cf3ca6Bc-unsplash_Tennis_Ball.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/glen-carrie-CE4cf3ca6Bc-unsplash_Tennis_Ball.jpg,Fuzzy sports equipment,Tennis Ball,Moss,Solar Flares,Shag Carpet
insung-yoon-3OhhlBWl4wY-unsplash_Corn.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/insung-yoon-3OhhlBWl4wY-unsplash_Corn.jpg,Yellow kernels on a cob,Corn,Pearls,Lego Bricks,Quail Eggs
jack-anstey-zS4lUqLEiNA-unsplash_Spain.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/jack-anstey-zS4lUqLEiNA-unsplash_Spain.jpg,European architecture,Highway,Mushroom,Strings,Footprint
Kiwi_slice.svg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/Kiwi_slice.svg,Fuzzy green fruit slice,Kiwi,Solar Eclipse,Petri Dish,Warhol Print
pexels-nic-scrollstoppingphotos-28248498_Toothbrush.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/pexels-nic-scrollstoppingphotos-28248498_Toothbrush.jpg,Dental hygiene tool,Toothbrush,Broom,Reeds,Comb
pexels-wei-huang-1013701991-31592888.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/pexels-wei-huang-1013701991-31592888.jpg,Close-up texture,Cherry Blossoms,Gangrene,Sand Dunes,Elephant Hide
Rusty_metal.png,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/Rusty_metal.png,Corroded surface,Rusty Metal,Mars,Burnt Toast,Skin Cancer
SoapBar.JPG,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/SoapBar.JPG,Bar of cleaner,Soap,Marble,Jade,Egyptian Tablet
spiderweb.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/spiderweb.jpg,Silken trap,Spider Web,Cracked Glass,Laser Security Beams,Frosty Window
Sponge001_PREVIEW.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/Sponge001_PREVIEW.jpg,Absorbent cleaning tool,Sponge,Volcanic Rock,Honeycomb,Coral Reef
SwissCheese_Closeup.webp,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/SwissCheese_Closeup.webp,Dairy product with holes,Swiss Cheese,Lunar Surface,Bubble Bath,White Chocolate
Vinyl_Record_Close_Up.jpg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/Vinyl_Record_Close_Up.jpg,Grooved music media,Vinyl Record,Tree Rings,Zen Garden,Race Track
Waffle_Closeup.jpeg,https://prsnmmhfaqrtzakxyokw.supabase.co/storage/v1/object/public/photo-mystery-images/Waffle_Closeup.jpeg,Breakfast grid pattern,Waffle,Toast,Keyboard Keys,Solar Panels